Wavelength = 1.54059 Å (Cu)
24.94	365.0
24.96	368.0
24.98	378.0
25.0	355.0
25.02	362.0
25.04	380.0
25.06	349.0
25.08	349.0
25.1	353.0
25.12	351.0
25.14	339.0
25.16	361.0
25.18	399.0
25.2	376.0
25.22	380.0
25.24	393.0
25.26	363.0
25.28	385.0
25.3	343.0
25.32	352.0
25.34	323.0
25.36	380.0
25.38	388.0
25.4	343.0
25.42	346.0
25.44	371.0
25.46	401.0
25.48	373.0
25.5	361.0
25.52	359.0
25.54	380.0
25.56	356.0
25.58	368.0
25.6	339.0
25.62	364.0
25.64	325.0
25.66	333.0
25.68	355.0
25.7	378.0
25.72	318.0
25.74	312.0
25.76	325.0
25.78	335.0
25.8	329.0
25.82	347.0
25.84	362.0
25.86	360.0
25.88	349.0
25.9	318.0
25.92	369.0
25.94	338.0
25.96	327.0
25.98	379.0
26.0	342.0
26.02	357.0
26.04	348.0
26.06	361.0
26.08	342.0
26.1	356.0
26.12	327.0
26.14	303.0
26.16	359.0
26.18	351.0
26.2	359.0
26.22	315.0
26.24	343.0
26.26	351.0
26.28	305.0
26.3	304.0
26.32	332.0
26.34	306.0
26.36	318.0
26.38	340.0
26.4	324.0
26.42	283.0
26.44	327.0
26.46	348.0
26.48	328.0
26.5	311.0
26.52	326.0
26.54	340.0
26.56	309.0
26.58	313.0
26.6	305.0
26.62	314.0
26.64	317.0
26.66	337.0
26.68	307.0
26.7	320.0
26.72	291.0
26.74	294.0
26.76	284.0
26.78	352.0
26.8	306.0
26.82	270.0
26.84	328.0
26.86	303.0
26.88	306.0
26.9	341.0
26.92	316.0
26.94	327.0
26.96	283.0
26.98	278.0
27.0	293.0
27.02	307.0
27.04	271.0
27.06	336.0
27.08	319.0
27.1	303.0
27.12	302.0
27.14	306.0
27.16	302.0
27.18	296.0
27.2	285.0
27.22	295.0
27.24	284.0
27.26	315.0
27.28	295.0
27.3	284.0
27.32	318.0
27.34	330.0
27.36	324.0
27.38	335.0
27.4	320.0
27.42	317.0
27.44	316.0
27.46	338.0
27.48	350.0
27.5	341.0
27.52	327.0
27.54	346.0
27.56	336.0
27.58	285.0
27.6	314.0
27.62	335.0
27.64	298.0
27.66	309.0
27.68	274.0
27.7	323.0
27.72	255.0
27.74	303.0
27.76	301.0
